RECID|RTYPE|DOCNO|PRDCD|SINGKAT|DIV|QTY|TOKO|TGL_PB|PKM_AKH|MINOR|GUDANG
T|P|T4NH000260|20114257|LABEL THERMAL 3X2|40|3|T4NH|07-11-2023|3|1|G244
T|P|T4NH000260|20118156|ROLL STRUK LABEL BC|40|4|T4NH|07-11-2023|4|2|G244
T|P|T4NH000260|20118157|ROLL STRUK EDC BCA|40|18|T4NH|07-11-2023|22|2|G244
T|P|T4NH000260|20118158|ROLL STRK EDC WDCARD|40|22|T4NH|07-11-2023|22|2|G244
T|P|T4NH000260|20118159|KNTONG PL SMPH 50X70|40|1|T4NH|07-11-2023|37|36|G244
T|P|T4NH000260|20118160|KNTNG PL SMPH 90X120|40|0|T4NH|07-11-2023|21|20|G244
T|P|T4NH000260|20118169|KERTAS 1 PLY N101|40|9|T4NH|07-11-2023|2|1|G244
